event_id,category,type,URL,IP,domain,HASH,comment,attribute_tag
10549,Network activity,domain,,,lifestyleshops.net,,,
10549,Network activity,domain,,,koenigseggg.com,,,
10549,Network activity,domain,,,miniiosapps.xyz,,,
10549,Network activity,domain,,,wtc2222.com,,,
10549,Network activity,domain,,,iosmnbg.com,,,
10549,Network activity,domain,,,myfcbk.net,,,
10549,Network activity,domain,,,myutbe.net,,,
10549,Network activity,domain,,,webaffise.com,,,
10549,Network activity,domain,,,link-m.xyz,,,
10549,Network activity,domain,,,updateservice.center,,,
10549,Network activity,domain,,,youtubesyncapi.com,,,
10549,Network activity,domain,,,static-graph.com,,,
10549,Network activity,domain,,,bitlyrs.com,,,
10549,Network activity,domain,,,cloudstatistics.net,,,
10549,Network activity,domain,,,prmopromo.com,,,
10549,Network activity,domain,,,browsercheck.services,,,
10549,Network activity,domain,,,servers-mobile.info,,,
10549,Network activity,domain,,,olxeg.com,,,
10549,Network activity,domain,,,egyqaz.com,,,
10549,Network activity,domain,,,gosokm.com,,,
10549,Network activity,domain,,,oilgy.xyz,,,
10549,Network activity,domain,,,wavekli.xyz,,,
10549,Network activity,domain,,,xyvok.xyz,,,
10549,Network activity,domain,,,localegem.net,,,
10549,Network activity,domain,,,infosms-a.site,,,
10549,Network activity,domain,,,etisalatgreen.com,,,
10549,Network activity,domain,,,hopnope.xyz,,,
10549,Network activity,domain,,,newzeto.xyz,,,
10549,Network activity,domain,,,nikjol.xyz,,,
10549,Network activity,domain,,,tiol.xyz,,,
10549,Network activity,domain,,,trecv.xyz,,,
10549,Network activity,domain,,,trecvf.xyz,,,
10549,Network activity,domain,,,bbcsworld.com,,,
10549,Network activity,domain,,,chatwithme.store,,,
10549,Network activity,domain,,,ffoxnewz.com,,,
10549,Network activity,domain,,,liponals.store,,,
10549,Network activity,domain,,,redeitt.com,,,
10549,Network activity,domain,,,trkc.online,,,
10549,Network activity,domain,,,aramexegypt.com,,,
10549,Network activity,domain,,,clockupdate.com,,,
10549,Network activity,domain,,,cloudtimesync.com,,,
10549,Network activity,domain,,,vodafonegypt.com,,,
10549,Network activity,domain,,,hellasjournal.website,,,
10549,Network activity,domain,,,alraeesnews.net,,,
10549,Network activity,domain,,,bank-alahly.com,,,
10549,Network activity,domain,,,etisalategypt.tech,,,
10549,Network activity,domain,,,solargroup.xyz,,,
10549,Network activity,domain,,,vodafoneegypt.tech,,,
10549,Network activity,domain,,,yallakora-egy.com,,,
10549,Network activity,domain,,,pocopoc.xyz,,,
10549,Network activity,domain,,,shortwidgets.com,,,
10549,Network activity,domain,,,uservicescheck.com,,,
10549,Network activity,domain,,,uservicesforyou.com,,,
10549,Network activity,domain,,,cosmote.center,,,
10549,Network activity,domain,,,adultpcz.xyz,,,
10549,Network activity,domain,,,advfb.xyz,,,
10549,Network activity,domain,,,canyouc.xyz,,,
10549,Network activity,domain,,,cbbc01.xyz,,,
10549,Network activity,domain,,,celebrnewz.xyz,,,
10549,Network activity,domain,,,landingpg.xyz,,,
10549,Network activity,domain,,,landingpge.xyz,,,
10549,Network activity,domain,,,newzgroup.xyz,,,
10549,Network activity,domain,,,omeega.xyz,,,
10549,Network activity,domain,,,solargoup.xyz,,,
10549,Network activity,domain,,,weathernewz.xyz,,,
10549,Network activity,domain,,,worldnws.xyz,,,
